2022-04-11T13:10:37.0095791+07:00 [INF] (Hangfire.SqlServer.SqlServerObjectsInstaller) Start installing Hangfire SQL objects...
2022-04-11T13:10:37.3342505+07:00 [INF] (Hangfire.SqlServer.SqlServerObjectsInstaller) Hangfire SQL objects installed.
2022-04-11T13:10:37.4287096+07:00 [INF] (Hangfire.BackgroundJobServer) Starting Hangfire Server using job storage: 'SQL Server: 45.119.82.72@Telesys-Api'
2022-04-11T13:10:37.4302314+07:00 [INF] (Hangfire.BackgroundJobServer) Using the following options for SQL Server job storage: Queue poll interval: 00:00:00.
2022-04-11T13:10:37.4309618+07:00 [INF] (Hangfire.BackgroundJobServer) Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15
2022-04-11T13:10:37.7682322+07:00 [INF] (Hangfire.Server.BackgroundServerProcess) Server tommy:4040:eb9a5386 successfully announced in 263.1207 ms
2022-04-11T13:10:37.7739864+07:00 [INF] (Hangfire.Server.BackgroundServerProcess) Server tommy:4040:eb9a5386 is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, Worker, DelayedJobScheduler, RecurringJobScheduler...
2022-04-11T13:10:37.8049092+07:00 [INF] (Hangfire.Server.ServerWatchdog) 2 servers were removed due to timeout
2022-04-11T13:10:37.8644213+07:00 [INF] (Hangfire.Server.BackgroundServerProcess) Server tommy:4040:eb9a5386 all the dispatchers started
2022-04-11T13:10:39.7828805+07:00 [INF] (Microsoft.Hosting.Lifetime) Now listening on: "https://localhost:5001"
2022-04-11T13:10:39.7836864+07:00 [INF] () Looop
2022-04-11T13:10:39.7836896+07:00 [INF] () Looop
2022-04-11T13:10:39.7864304+07:00 [INF] () 1
2022-04-11T13:10:39.7837091+07:00 [INF] () Looop
2022-04-11T13:10:39.7837005+07:00 [INF] () Looop
2022-04-11T13:10:39.7849434+07:00 [INF] () 1
2022-04-11T13:10:39.7842209+07:00 [INF] (Microsoft.Hosting.Lifetime) Now listening on: "http://localhost:5000"
2022-04-11T13:10:39.7867151+07:00 [INF] () Looop
2022-04-11T13:10:39.7890836+07:00 [INF] () 1
2022-04-11T13:10:39.7897200+07:00 [INF] () 1
2022-04-11T13:10:39.7916007+07:00 [INF] (Microsoft.Hosting.Lifetime) Application started. Press Ctrl+C to shut down.
2022-04-11T13:10:39.7918663+07:00 [INF] () 1
2022-04-11T13:10:39.7938629+07:00 [INF] (Microsoft.Hosting.Lifetime) Hosting environment: "Development"
2022-04-11T13:10:39.7953582+07:00 [INF] (Microsoft.Hosting.Lifetime) Content root path: "F:\source\teleSYss\CallAPI\Web\XProject.WebApi"
2022-04-11T13:10:39.8785615+07:00 [INF] () Looop
2022-04-11T13:10:39.8785629+07:00 [INF] () Looop
2022-04-11T13:10:39.8785630+07:00 [INF] () Looop
2022-04-11T13:10:39.8786122+07:00 [INF] () Looop
2022-04-11T13:10:39.8786342+07:00 [INF] () Looop
2022-04-11T13:10:39.8793315+07:00 [INF] () 2
2022-04-11T13:10:39.8799814+07:00 [INF] () 2
2022-04-11T13:10:39.8812145+07:00 [INF] () 2
2022-04-11T13:10:39.8818341+07:00 [INF] () 2
2022-04-11T13:10:39.8806067+07:00 [INF] () 2
2022-04-11T13:10:39.9575490+07:00 [INF] () Looop
2022-04-11T13:10:39.9575741+07:00 [INF] () Looop
2022-04-11T13:10:39.9583884+07:00 [INF] () 3
2022-04-11T13:10:39.9596224+07:00 [INF] () 3
2022-04-11T13:10:39.9606063+07:00 [INF] () Looop
2022-04-11T13:10:39.9713849+07:00 [INF] () 3
2022-04-11T13:10:39.9722374+07:00 [INF] () Looop
2022-04-11T13:10:39.9752984+07:00 [INF] () Looop
2022-04-11T13:10:39.9762613+07:00 [INF] () 3
2022-04-11T13:10:39.9773788+07:00 [INF] () 3
2022-04-11T13:10:40.0215279+07:00 [INF] () Looop
2022-04-11T13:10:40.0222350+07:00 [INF] () 4
2022-04-11T13:10:40.0365238+07:00 [INF] () Looop
2022-04-11T13:10:40.0365201+07:00 [INF] () Looop
2022-04-11T13:10:40.0365527+07:00 [INF] () Looop
2022-04-11T13:10:40.0365979+07:00 [INF] () Looop
2022-04-11T13:10:40.0383937+07:00 [INF] () 4
2022-04-11T13:10:40.0391844+07:00 [INF] () 4
2022-04-11T13:10:40.0404838+07:00 [INF] () 4
2022-04-11T13:10:40.0398340+07:00 [INF] () 4
2022-04-11T13:10:40.0836111+07:00 [INF] () Looop
2022-04-11T13:10:40.0851664+07:00 [INF] () 5
2022-04-11T13:10:40.0995758+07:00 [INF] () Looop
2022-04-11T13:10:40.0996672+07:00 [INF] () Looop
2022-04-11T13:10:40.0996648+07:00 [INF] () Looop
2022-04-11T13:10:40.0996765+07:00 [INF] () Looop
2022-04-11T13:10:40.1014739+07:00 [INF] () 5
2022-04-11T13:10:40.1023370+07:00 [INF] () 5
2022-04-11T13:10:40.1034153+07:00 [INF] () 5
2022-04-11T13:10:40.1041247+07:00 [INF] () 5
2022-04-11T13:10:40.1455904+07:00 [INF] () Looop
2022-04-11T13:10:40.1467291+07:00 [INF] () 6
2022-04-11T13:10:40.1616026+07:00 [INF] () Looop
2022-04-11T13:10:40.1616482+07:00 [INF] () Looop
2022-04-11T13:10:40.1616793+07:00 [INF] () Looop
2022-04-11T13:10:40.1617029+07:00 [INF] () Looop
2022-04-11T13:10:40.1639084+07:00 [INF] () 6
2022-04-11T13:10:40.1651504+07:00 [INF] () 6
2022-04-11T13:10:40.1682762+07:00 [INF] () 6
2022-04-11T13:10:40.1667817+07:00 [INF] () 6
2022-04-11T13:10:40.2095873+07:00 [INF] () Looop
2022-04-11T13:10:40.2102534+07:00 [INF] () 7
2022-04-11T13:10:40.2255045+07:00 [INF] () Looop
2022-04-11T13:10:40.2255045+07:00 [INF] () Looop
2022-04-11T13:10:40.2255045+07:00 [INF] () Looop
2022-04-11T13:10:40.2255295+07:00 [INF] () Looop
2022-04-11T13:10:40.2266396+07:00 [INF] () 7
2022-04-11T13:10:40.2273579+07:00 [INF] () 7
2022-04-11T13:10:40.2287756+07:00 [INF] () 7
2022-04-11T13:10:40.2281135+07:00 [INF] () 7
2022-04-11T13:10:40.2725180+07:00 [INF] () Looop
2022-04-11T13:10:40.2733208+07:00 [INF] () 8
2022-04-11T13:10:40.2876528+07:00 [INF] () Looop
2022-04-11T13:10:40.2878704+07:00 [INF] () Looop
2022-04-11T13:10:40.2879017+07:00 [INF] () Looop
2022-04-11T13:10:40.2879388+07:00 [INF] () Looop
2022-04-11T13:10:40.2889698+07:00 [INF] () 8
2022-04-11T13:10:40.2897732+07:00 [INF] () 8
2022-04-11T13:10:40.2913982+07:00 [INF] () 8
2022-04-11T13:10:40.2905006+07:00 [INF] () 8
2022-04-11T13:10:40.4874017+07:00 [INF] () Looop
2022-04-11T13:10:40.4882141+07:00 [INF] () 1
2022-04-11T13:10:40.5676241+07:00 [INF] () Looop
2022-04-11T13:10:40.5684428+07:00 [INF] () 2
2022-04-11T13:10:40.6305667+07:00 [INF] () Looop
2022-04-11T13:10:40.6312816+07:00 [INF] () 3
2022-04-11T13:10:40.6926812+07:00 [INF] () Looop
2022-04-11T13:10:40.6945536+07:00 [INF] () 4
2022-04-11T13:10:40.7545606+07:00 [INF] () Looop
2022-04-11T13:10:40.7556952+07:00 [INF] () 5
2022-04-11T13:10:40.8156256+07:00 [INF] () Looop
2022-04-11T13:10:40.8174429+07:00 [INF] () 6
2022-04-11T13:10:40.8786323+07:00 [INF] () Looop
2022-04-11T13:10:40.8802540+07:00 [INF] () 7
2022-04-11T13:10:40.9416256+07:00 [INF] () Looop
2022-04-11T13:10:40.9427499+07:00 [INF] () 8
2022-04-11T13:10:42.4274336+07:00 [INF] () Looop
2022-04-11T13:10:42.4288598+07:00 [INF] () 1
2022-04-11T13:10:42.4881919+07:00 [INF] () Looop
2022-04-11T13:10:42.4900161+07:00 [INF] () 2
2022-04-11T13:10:42.5516351+07:00 [INF] () Looop
2022-04-11T13:10:42.5560482+07:00 [INF] () 3
2022-04-11T13:10:42.6280725+07:00 [INF] () Looop
2022-04-11T13:10:42.6297398+07:00 [INF] () 4
2022-04-11T13:10:42.6914783+07:00 [INF] () Looop
2022-04-11T13:10:42.6930661+07:00 [INF] () 5
2022-04-11T13:10:42.7556392+07:00 [INF] () Looop
2022-04-11T13:10:42.7582659+07:00 [INF] () 6
2022-04-11T13:10:42.8174490+07:00 [INF] () Looop
2022-04-11T13:10:42.8188633+07:00 [INF] () 7
2022-04-11T13:10:42.8804435+07:00 [INF] () Looop
2022-04-11T13:10:42.8821443+07:00 [INF] () 8
2022-04-11T13:10:44.4369298+07:00 [INF] () Looop
2022-04-11T13:10:44.4378848+07:00 [INF] () 1
2022-04-11T13:10:44.4912874+07:00 [INF] () Looop
2022-04-11T13:10:44.4925950+07:00 [INF] () 2
2022-04-11T13:10:44.5535209+07:00 [INF] () Looop
2022-04-11T13:10:44.5558294+07:00 [INF] () 3
2022-04-11T13:10:44.6175339+07:00 [INF] () Looop
2022-04-11T13:10:44.6192752+07:00 [INF] () 4
2022-04-11T13:10:44.6814620+07:00 [INF] () Looop
2022-04-11T13:10:44.6829494+07:00 [INF] () 5
2022-04-11T13:10:44.7436069+07:00 [INF] () Looop
2022-04-11T13:10:44.7451810+07:00 [INF] () 6
2022-04-11T13:10:44.8058500+07:00 [INF] () Looop
2022-04-11T13:10:44.8076123+07:00 [INF] () 7
2022-04-11T13:10:44.8680470+07:00 [INF] () Looop
2022-04-11T13:10:44.8696526+07:00 [INF] () 8
2022-04-11T13:10:45.4322073+07:00 [INF] () Looop
2022-04-11T13:10:45.4383748+07:00 [INF] () 1
2022-04-11T13:10:45.4437761+07:00 [INF] () Looop
2022-04-11T13:10:45.4471735+07:00 [INF] () Looop
2022-04-11T13:10:45.4480635+07:00 [INF] () 1
2022-04-11T13:10:45.4558197+07:00 [INF] () 1
2022-04-11T13:10:45.4471611+07:00 [INF] () Looop
2022-04-11T13:10:45.4436092+07:00 [INF] () Looop
2022-04-11T13:10:45.4611037+07:00 [INF] () Looop
2022-04-11T13:10:45.4616356+07:00 [INF] () Looop
2022-04-11T13:10:45.4662793+07:00 [INF] () 1
2022-04-11T13:10:45.4649334+07:00 [INF] () 1
2022-04-11T13:10:45.4655812+07:00 [INF] () 1
2022-04-11T13:10:45.4645760+07:00 [INF] () 1
2022-04-11T13:10:45.4923141+07:00 [INF] () Looop
2022-04-11T13:10:45.4929680+07:00 [INF] () 1
2022-04-11T13:10:45.5341275+07:00 [INF] () Looop
2022-04-11T13:10:45.5367079+07:00 [INF] () 2
2022-04-11T13:10:45.5639596+07:00 [INF] () Looop
2022-04-11T13:10:45.5639548+07:00 [INF] () Looop
2022-04-11T13:10:45.5639285+07:00 [INF] () Looop
2022-04-11T13:10:45.6026813+07:00 [INF] () 2
2022-04-11T13:10:45.6034928+07:00 [INF] () 2
2022-04-11T13:10:45.6057328+07:00 [INF] () 2
2022-04-11T13:10:45.5639285+07:00 [INF] () Looop
2022-04-11T13:10:45.6153768+07:00 [INF] () 2
2022-04-11T13:10:45.5732437+07:00 [INF] () Looop
2022-04-11T13:10:45.5639418+07:00 [INF] () Looop
2022-04-11T13:10:45.6205795+07:00 [INF] () 2
2022-04-11T13:10:45.6193003+07:00 [INF] () 2
2022-04-11T13:10:45.5639794+07:00 [INF] () Looop
2022-04-11T13:10:45.6332981+07:00 [INF] () 2
2022-04-11T13:10:45.6334933+07:00 [INF] () Looop
2022-04-11T13:10:45.6354919+07:00 [INF] () 3
2022-04-11T13:10:45.6657667+07:00 [INF] () Looop
2022-04-11T13:10:45.6657667+07:00 [INF] () Looop
2022-04-11T13:10:45.6670596+07:00 [INF] () 3
2022-04-11T13:10:45.6691684+07:00 [INF] () 3
2022-04-11T13:10:45.6657666+07:00 [INF] () Looop
2022-04-11T13:10:45.6727354+07:00 [INF] () Looop
2022-04-11T13:10:45.6738184+07:00 [INF] () Looop
2022-04-11T13:10:45.6763872+07:00 [INF] () 3
2022-04-11T13:10:45.6766250+07:00 [INF] () 3
2022-04-11T13:10:45.6777390+07:00 [INF] () 3
2022-04-11T13:10:45.6802133+07:00 [INF] () Looop
2022-04-11T13:10:45.6816058+07:00 [INF] () 3
2022-04-11T13:10:45.6865534+07:00 [INF] () Looop
2022-04-11T13:10:45.6884786+07:00 [INF] () 3
2022-04-11T13:10:45.6897075+07:00 [INF] () Looop
2022-04-11T13:10:45.6912283+07:00 [INF] () 4
2022-04-11T13:10:45.7267610+07:00 [INF] () Looop
2022-04-11T13:10:45.7276447+07:00 [INF] () 4
2022-04-11T13:10:45.7269248+07:00 [INF] () Looop
2022-04-11T13:10:45.7318379+07:00 [INF] () 4
